"x","y","depth"
-121.26,44.20805556,430
-117.0453,43.7178,30
-117.06703,43.71493,117
-123.537009,42.147474,85
-122.4652778,42.12222222,285
-121.4733333,45.19972222,80
-123.451066,42.522536,114
-123.63829,42.131191,102
-116.9344167,44.06369444,35
-117.818794,45.296584,25
-117.6275,43.88055556,36
-117.6341667,43.88055556,240
-117.0458333,43.79666667,12
-121.822069,42.123388,116
-122.96714,44.93665,40
-123.13635,44.97264,400
-122.5391,42.3129,150
-123.0777,42.2682,70
-123.0264,42.2439,180
-122.366,42.2397,110
-122.3753,42.2545,100
-123.174236,42.431263,83
-123.2994444,43.56222222,98
-123.1427778,43.57111111,134
-123.1283333,43.47333333,33
-123.6416667,43.20916667,135
-123.5702778,42.99666667,110
-123.545,42.99194444,125
-123.7380556,43.04666667,27
-122.567421,42.370008,63
-123.26575,44.60522,27
-123.27919,44.60596,88
-121.2755556,44.42166667,480
-121.03751,44.18741,605
-123.366981,42.411403,61
-122.7388889,42.21611111,302
-122.7391667,42.21555556,146
-123.509138,42.21332,62
-121.5997222,43.57,28
-121.4975,43.53694444,65
-123.32915,44.58276,190
-122.7319444,42.1925,222
-122.09334,42.471862,66
-118.0730556,43.42138889,630
-122.5219,42.25,35
-122.3708,42.2543,135
-122.4914,42.3843,140
-123.1275,43.31083333,92
-119.8098611,44.60416667,190
-123.5052778,43.12805556,64
-123.4955556,43.27194444,118
-119.9144444,44.62611111,54
-123.0169444,44.10416667,150
-123.1073833,44.45888333,30
-122.7572333,43.68765,55
-122.39207,45.19468,35
-119.8994444,44.64,420
-119.8988889,44.66055556,75
-119.8208333,44.77972222,97
-117.08,43.95083333,160
-118.2211111,42.46944444,240
-121.04363,42.394402,292
-122.9491667,45.32305556,126
-123.2652778,45.22083333,85
-123.2597222,45.37916667,128
-123.1513889,45.21944444,36
-123.03906,44.0717,9.6
-123.03941,44.07149,9.6
-123.187491,42.430291,115
-123.449613,42.369869,106
-123.425254,43.359623,82
-122.872073,42.97649,23
-123.170589,42.955367,183
-123.03844,44.0715,9.6
-121.790235,42.205355,32
-123.2322222,43.03027778,33
-123.3152778,42.92138889,105
-123.2369444,43.41638889,88
-123.5997222,43.58305556,53
-123.3166667,42.94722222,166
-123.4422222,43.28805556,120
-123.71971,42.074597,54
-123.649981,42.193431,59
