"x","y","depth"
-10687.6984369445,4887.72051915562,145
-10774.6720037709,4887.72051915562,40
-10727.3438936211,4900.25384851013,115
-10687.2635691104,4860.86338609461,115
-10717.6318424263,4845.9530459238,67
-10702.9912949097,4861.14121851325,58
-10705.6005019145,4866.8830877576,120
-10700.1888152447,4892.69063328677,127
-10714.5636063306,4884.20130926039,60
-10687.0702964502,4887.19572483404,218
-10714.2736973403,4883.89260632605,155
-10719.5887476799,5026.9763019258,65
-10676.1261255236,4690.05818855091,101
-10698.8967707254,4688.03309916867,120
-10569.9700514817,4863.27126631527,75
-10704.3683734853,5014.59114949078,47
-10727.7062776846,4821.41118264769,93
-10744.8352433164,4787.79345999221,170
-10743.9171851345,4822.89295517666,144
-10740.1483334711,4834.43843580808,182
-10748.3141859895,4849.34877597889,40
-10763.2929650102,4851.41708386084,93
-10750.2469299862,4850.36749410635,92
-10687.4085279542,4697.89923730423,81
-10637.5891034694,4702.30257219003,115
-10659.7151788701,4691.73382698496,120
-10659.7151788701,4691.72271368821,75
-10657.7582736165,4704.10292626282,160
-10709.1074674708,4694.89000326071,50
-10709.1074674708,4694.9122298542,200
-10656.0883811334,4700.92452339358,50
-10662.5157277219,4688.14423213612,60
-10687.3360528809,4697.89923730423,161
-10713.8146682493,4813.26143096002,36
-10713.2106890118,4830.70313341429,57
-10725.7735336879,5097.7000877276,4.5
-10676.0778030099,4690.21254001808,162
-10653.7922789692,4707.40357539627,200
-10657.471260846,4694.90111655746,60
-10570.501555646,4863.05517492803,35
-10706.1078448219,4888.92446037728,250
-10709.7075850819,4858.23941337538,250
-10709.5143124217,4888.49227649147,240
-10721.8114093643,4924.02395556172,90
-10699.7780999701,4898.37076261105,105
-10689.2929581345,4901.14908679745,275
-10718.5740531678,4850.58358660492,300
-10555.1845451212,4908.21837821493,770
-10659.7064815134,4691.76716687519,130
-10190.0888458081,4902.84695071366,30
-10702.8946585796,4984.90012575965,365
-10685.4516227006,4948.3805979663,290
-10685.3308251136,4948.3188569349,370
-10677.6240016862,5003.79273022719,70
-10675.3047036717,4975.57730447735,280
-10693.738272806,4986.41276880432,365
-10685.5240977738,4948.25711701483,510
-10691.2498633881,4942.66959812632,95
-10685.3066638568,4948.2003147325,50
-10721.062471283,5027.65544771455,144
-10724.4930914424,5025.67975026837,101
-10722.4153886018,5027.62457719885,217
-10719.7578677806,4845.24302961935,59
-10721.7389255937,4826.62825757046,24
-10712.7516599208,4822.86208466096,21
-10193.9301725446,4902.50737837495,18
-10639.5955836561,5030.98388008986,75
-10697.2655292954,4699.84406423472,101
-10751.4790584154,4793.8749026866,25
-10717.7526400133,4822.98556561243,151
-10784.2874186355,4772.17310351696,96
-10529.9193066811,4931.93773417427,15
-10661.6063668966,4710.37082562735,115
-10674.0242614262,4689.56426474503,60
-10556.6341074675,4910.93496136993,397
-10173.7571407712,4896.48767560064,8
-10698.7750077318,4693.47861457402,110
-10696.5649137278,4700.06015562196,82
-10542.4139292914,4925.85764952475,125
-10699.439868466,4772.23484454836,199
-10700.5511993082,4772.11136359689,230
-10712.4617509305,4788.37999423387,191
-10712.9207713241,4787.88607042799,90
-10729.9772618827,4827.83219768079,86
-10735.1715146354,4809.21742563189,253
-10652.4876754668,4685.61040047812,180
-10657.9844048902,4703.74730076696,225
-10655.5056582357,4703.75841406371,80
-10718.4397311912,4701.64688768204,75
-10657.4190767059,4686.84397641689,170
-10569.8251013352,4853.63974320996,16
-10659.2387550657,4682.30975134468,78
-10749.6728957478,4681.37034437077,67
-10699.4742752091,4982.49323239973,68
-10688.4877742476,5017.81240078696,74
-10687.8720013944,4992.17180253549,226
-10687.9180973849,4986.82186148215,37
-10689.4897097374,4989.95136584571,91
-10689.6279977087,4989.27790006293,94
-10687.0387946242,4980.46394441398,10
-10675.4417392236,5025.79841582836,51
-10654.6428804528,5017.17449755376,35
-10672.2915566332,5024.57706451601,64
-10708.1994634331,4981.78087007834,31
-10658.045286387,5019.64942873901,167
-10670.4372801884,5026.09514085147,11
-10696.0405587908,5008.43166700399,58
-10684.3513114093,5015.86979651583,32
-10682.0308566464,5019.00596885744,76
-10668.8178323741,4910.53574730158,78
-10681.6272992963,5003.31732784166,95
-10681.5794638346,5003.63961344728,112
-10722.7052975921,4834.06799295367,23
-10721.4731778603,4834.46930632378,260
-10723.5991945172,4858.64072674549,86
-10724.4930914424,4844.22431038056,26
-10717.3902472524,4849.6574778019,94
-10715.3608669256,4847.62004043565,66
-10736.5002793947,4809.7113505491,124
-10721.0866238425,4823.75732294828,250
-10541.5320173237,4897.00530851379,700
-10719.8786566702,5054.8521542256,107
-10659.5769865697,4680.70449786424,96
-10659.2629163226,4681.53799512016,38
-10675.3530261855,4954.77074359503,40
-10704.4891710723,4874.84761746239,95
-10689.8244622988,4920.28865316793,250
-10702.9188111391,4871.1431855843,57
-10706.421915069,4876.02068816836,80
-10701.1793398026,4871.45188740731,118
-10713.065730168,4858.64072674549,160
-10701.1310259862,4879.41641711211,35
-10704.9240389064,4880.12643341656,178
-10717.7768012702,4852.09622964959,180
-10684.3644531153,4856.81938076648,62
-10729.1075262145,4985.76449353127,50
-10682.1418001282,4974.77467773712,40
-10702.8704973227,4985.14708766259,280
-10558.8809217114,4901.24169723322,390
-10644.1150172012,4842.15600249861,12.5
-10589.9981331086,4908.15663718353,550
-10566.7568652395,4861.7894937863,35
-10577.362804662,4873.05714199908,25
-10751.0568191432,4674.52799869747,237
-10754.3079780447,4684.59408949074,262
-10749.9251190916,4703.06938966548,90
-10743.1281348441,4707.87222312003,132
-10714.8672049603,4720.26477145403,65
-10654.6881067075,4694.23431875272,25
-10658.8628379152,4705.35872879508,140
-10704.7674864861,4705.75880747792,110
-10768.583854093,4712.99479834658,93
-10699.4640297229,4804.5560155464,72
-10699.4881909798,4804.5251450307,88
-10720.724239779,4756.49100712163,30
-10745.9224129018,4847.89787285429,74
-10766.5544737662,4852.86798587411,42
-10666.5590331727,4685.73635080413,485
-10758.9249698397,4675.08355240178,35
-10540.0849685136,4927.97535045409,250
-10565.0415551598,4873.45845536919,20
-10641.4507298365,4674.71936966743,410
-10728.1411455187,4800.20330728393,392
-10676.9255082737,5015.27412381026,46
-10546.8737424564,4925.07354420489,230
-10723.7007622486,4711.75087481722,224
-10723.8166284343,5029.13722024352,240
-10716.2306025938,5010.86202164466,90
-10707.4366095811,5029.84723654797,119
-10756.1659682607,4782.60725447382,32
-10725.7252198715,4806.80954541122,371
-10704.2958984121,4772.52008509061,63
-10690.5492391232,4773.9018390602,63
-10663.5149583338,4866.67502239326,420
-10724.6331188849,4893.26235016987,195
-10738.3042329337,4717.32986091648,136
-10545.1825849362,4905.31657307705,567
-10551.850561292,4910.28668609688,595
-10556.1750783765,4926.83315026383,710
-10433.373237748,4905.34744248142,120
-10681.3940361901,4737.41103247096,93
-10564.7033236558,4837.86503526754,75
-10212.677811926,4905.28570256135,20
-10759.1375593291,4782.17507058801,98
-10715.5541395858,4824.15863631839,135
-10685.7898542046,4863.83495828679,87
-10727.4888437675,4896.05549171482,60
-10662.2103548314,4906.11919981728,100
-10760.3149813847,4672.69563833005,81
-10563.6644678868,4867.16092017624,132
-10646.0960837117,4979.74479075695,25
-10645.9028110515,4979.21999643537,130
-10703.2193569966,4696.32361854089,72
-10662.3939647283,4695.61236754918,205
-10661.5938079135,4693.6453140252,100
-10178.0990525691,4899.64138250185,40
-10705.2381091536,4882.04038983134,390
-10652.8964512309,4709.08168320485,70
-10763.9694280182,4783.40988121404,166
-10516.1513910525,4929.50614484633,60
-10755.6093635251,4682.39287880433,114
-10752.8524754039,4694.75997768879,182
-10756.6014710019,4680.07075544934,62
-10743.5442163878,4701.03787902038,94
-10755.3460945383,4782.72727807867,25
-10720.6227677186,4997.42728056649,220
-10722.7971068892,5023.32126198376,130
-10658.6106145714,4992.5559447508,415
-10730.5337535527,4721.87631061511,125
-10755.8017490549,4682.16705661446,40
-10537.9695800265,4900.31373695496,620
-10760.9838081136,4668.44758064904,141
