FID,WELL_CLASS,TD,PB,NOX,lat,long
"2,948",G,"11,450.000000000000000","11,417.000000000000000",860.950055573011240,42.445156714699998,-109.686264679000000
"2,949",G,"11,520.000000000000000","11,392.000000000000000",863.925532610895970,42.444896667400002,-109.691264837000010
"2,950",G,"11,550.000000000000000","11,474.000000000000000",858.724317819195680,42.445076762500001,-109.681574526000010
"2,951",G,"10,645.000000000000000","10,549.000000000000000",925.405151184060400,42.426206327099997,-109.747406342999990
"2,952",G,"10,902.000000000000000","10,810.000000000000000",924.113424006068950,42.427856275600000,-109.750626475000000
"2,953",G,"10,780.000000000000000","10,689.000000000000000",916.160998603127500,42.430906288999999,-109.745686367000000
"2,954",G,"10,510.000000000000000","10,402.000000000000000",897.888352035073350,42.445405998299996,-109.759707183000000
"2,955",G,"11,770.000000000000000","11,770.000000000000000",863.636775041720850,42.442976762699999,-109.684074573000000
"2,956",G,"13,530.000000000000000","13,480.000000000000000",670.049696904801410,42.581775123200003,-109.732658754000000
"2,957",G,"13,369.000000000000000","13,363.000000000000000",669.688206483303930,42.582145118299998,-109.732968771000000
"2,958",G,"13,290.000000000000000","13,245.000000000000000",669.524886538912600,42.582305115700002,-109.733088779000000
"2,959",G,"13,489.000000000000000","13,478.000000000000000",669.905292681408920,42.581925120900003,-109.732788760999990
"2,960",G,"3,905.000000000000000","3,855.000000000000000","1,092.540526119562900",42.511489425500002,-110.317751951000010
"2,961",G,"10,412.000000000000000","10,302.000000000000000",954.758631278082480,42.415136296199996,-109.765776965000000
"2,962",G,"11,558.000000000000000","11,493.000000000000000",888.998658482402790,42.436506563899997,-109.711815368000000
"2,963",G,"11,820.000000000000000","11,704.000000000000000",874.878241807131420,42.442106581200001,-109.703315183000000
"2,964",G,"11,250.000000000000000","11,160.000000000000000",865.259240012409800,42.442896734100003,-109.687014668000000
"2,965",G,"12,345.000000000000000","12,245.000000000000000",810.330369937152000,42.481206074399999,-109.706835926000000
"2,966",G,"12,335.000000000000000","12,256.000000000000000",878.304056909792510,42.441886523999997,-109.709315374000000
"2,967",G,"13,473.000000000000000","13,398.000000000000000",793.794948521839730,42.488366079499997,-109.697335726000010
"2,968",G,"12,518.000000000000000","12,448.000000000000000",871.597843501384200,42.442106645999999,-109.696834972999990
"2,969",G,"12,018.000000000000000","11,940.000000000000000",875.259321255591090,42.443656501600003,-109.709395404000010
"2,970",G,"12,312.000000000000000","12,270.000000000000000",873.654911104036840,42.445276458199999,-109.711785508000010
"2,971",G,"11,655.000000000000000","11,569.000000000000000",871.886805090794720,42.444866511699999,-109.706895343000000
"2,972",G,"9,300.000000000000000","9,230.000000000000000","1,097.501383821727800",42.340387144799998,-109.766405776000000
"2,973",G,"12,302.000000000000000","12,261.000000000000000",858.904252417026560,42.457306197100003,-109.723536086000000
"2,974",G,"4,321.000000000000000","4,279.000000000000000",927.461421854084850,42.637778097300000,-110.345634128000000
"2,975",G,"13,276.000000000000000","13,200.000000000000000",641.544132458691140,42.607664826799997,-109.746389737000000
"2,976",G,"13,265.000000000000000","13,251.000000000000000",642.214723472025980,42.607284825199997,-109.746709740000000
"2,977",G,"13,517.000000000000000","13,464.000000000000000",643.192068410941370,42.607504797300003,-109.749219827999990
"2,978",G,"13,175.000000000000000","13,160.000000000000000",642.182885332220170,42.607304825400000,-109.746699740000000
"2,979",G,"11,540.000000000000000","11,462.000000000000000",827.940326828848130,42.476555940200001,-109.726396495000000
"2,980",G,"11,650.000000000000000","11,564.000000000000000",821.076646788593730,42.480985878500000,-109.727316598000000
"2,981",G,"5,824.000000000000000","5,779.000000000000000","1,446.643995045807700",42.284882069799998,-110.197075944000010
"2,982",G,"11,828.000000000000000","11,741.000000000000000","1,156.618231895480700",42.311237481299997,-109.766105286000000
"2,983",G,"9,686.000000000000000","9,659.000000000000000",980.437852311608370,42.394476758200000,-109.741845638000000
"2,984",G,"9,900.000000000000000","9,848.000000000000000",956.402907840642910,42.404856731899997,-109.732415510000000
"2,985",G,"12,826.000000000000000","12,703.000000000000000",807.195911354939880,42.491135705700003,-109.732696942999990
"2,986",G,"13,400.000000000000000","13,343.000000000000000",800.657515762647220,42.481166262099997,-109.687535288000010
