year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   9.0000000e+00   1.6000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.6000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   1.7153091e+00
   2.0120000e+03   9.0000000e+00   1.6000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00   1.0100000e+00             NaN   2.2426172e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   9.5000000e-01   5.1717172e+00   1.8645996e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00   8.8000000e-01             NaN   1.6517383e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   9.3000000e-01   5.7528090e+00   1.7439404e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   1.9455176e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN             NaN
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00             NaN   5.4468085e+00   2.2305371e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   6.9000000e-01             NaN   1.7059863e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   7.4000000e-01             NaN   1.3486523e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   7.5000000e-01   5.5652174e+00   1.1675391e-01
