,,
,,
Latitude,Longitude,thickness (m)
71.5143307,-156.4987240,0.041
71.5143541,-156.4987657,0.052
71.5143774,-156.4988073,0.069
71.5144008,-156.4988489,0.083
71.5144242,-156.4988904,0.092
71.5144476,-156.4989318,0.098
71.5144710,-156.4989731,0.101
71.5144944,-156.4990143,0.099
71.5145179,-156.4990554,0.095
71.5145413,-156.4990965,0.092
71.5145648,-156.4991375,0.092
71.5145883,-156.4991784,0.089
71.5146118,-156.4992192,0.085
71.5146353,-156.4992600,0.079
71.5146588,-156.4993006,0.072
71.5146824,-156.4993412,0.068
71.5147060,-156.4993816,0.070
71.5147295,-156.4994220,0.081
71.5147531,-156.4994623,0.092
71.5147768,-156.4995025,0.095
71.5148004,-156.4995426,0.089
71.5148240,-156.4995826,0.085
71.5148477,-156.4996226,0.089
71.5148714,-156.4996624,0.095
71.5148951,-156.4997022,0.091
71.5149188,-156.4997418,0.076
71.5149426,-156.4997814,0.069
71.5149663,-156.4998208,0.082
71.5149901,-156.4998602,0.102
71.5150139,-156.4998995,0.106
71.5150377,-156.4999386,0.097
71.5150616,-156.4999777,0.095
71.5150854,-156.5000167,0.104
71.5151093,-156.5000556,0.114
71.5151332,-156.5000943,0.119
71.5151571,-156.5001330,0.128
71.5151811,-156.5001716,0.150
71.5152050,-156.5002101,0.188
71.5152290,-156.5002484,0.241
71.5152530,-156.5002867,0.303
71.5152770,-156.5003248,0.364
71.5153011,-156.5003629,0.423
71.5153251,-156.5004008,0.507
71.5153492,-156.5004387,0.626
71.5153733,-156.5004764,0.717
71.5153975,-156.5005140,0.722
71.5154216,-156.5005515,0.671
71.5154458,-156.5005889,0.625
71.5154700,-156.5006262,0.595
71.5154942,-156.5006634,0.569
71.5155185,-156.5007005,0.544
71.5155428,-156.5007374,0.523
71.5155671,-156.5007743,0.511
71.5155914,-156.5008110,0.506
71.5156157,-156.5008476,0.509
71.5156401,-156.5008841,0.529
71.5156645,-156.5009205,0.567
71.5156889,-156.5009568,0.619
71.5157134,-156.5009929,0.680
71.5157379,-156.5010289,0.738
71.5157624,-156.5010648,0.780
71.5157869,-156.5011006,0.824
71.5158114,-156.5011363,0.898
71.5158360,-156.5011718,0.975
71.5158606,-156.5012073,0.996
71.5158852,-156.5012426,0.985
71.5159099,-156.5012778,1.025
71.5159346,-156.5013128,1.115
71.5159593,-156.5013477,1.158
