latitude,longitude,SSMI x-location (km),SSMI y-location (km),thickness,,
77.466,-46.577,-37.5,"-1,362.5","9,999",,
77.47,-45.526,-12.5,"-1,362.5","9,999",,
77.47,-44.474,,12.5,"-1,362.5","9,999",
77.466,-43.423,,37.5,"-1,362.5","9,999",
77.458,-42.374,,62.5,"-1,362.5","9,999",
77.445,-41.326,,87.5,"-1,362.5","9,999",
77.428,-40.28,112.5,"-1,362.5","9,999",,
77.408,-39.237,137.5,"-1,362.5","9,999",,
77.383,-38.199,162.5,"-1,362.5","9,999",,
77.354,-37.164,187.5,"-1,362.5","9,999",,
77.321,-36.135,212.5,"-1,362.5","9,999",,
77.283,-35.112,237.5,"-1,362.5","9,999",,
77.242,-34.095,262.5,"-1,362.5","9,999",,
77.197,-33.085,287.5,"-1,362.5","9,999",,
77.148,-32.082,312.5,"-1,362.5","9,999",,
77.095,-31.088,337.5,"-1,362.5","9,999",,
77.038,-30.101,362.5,"-1,362.5","9,999",,
76.978,-29.124,387.5,"-1,362.5","9,999",,
76.914,-28.156,412.5,"-1,362.5","9,999",,
76.846,-27.198,437.5,"-1,362.5","9,999",,
76.774,-26.25,462.5,"-1,362.5","9,999",,
76.699,-25.313,487.5,"-1,362.5","9,999",,
76.621,-24.386,512.5,"-1,362.5","9,999",,
76.539,-23.471,537.5,"-1,362.5","9,999",,
76.454,-22.567,562.5,"-1,362.5","9,999",,
76.365,-21.675,587.5,"-1,362.5","9,999",,
76.274,-20.794,612.5,"-1,362.5","9,999",,
76.179,-19.926,637.5,"-1,362.5","9,999",,
76.081,-19.069,662.5,"-1,362.5",-1,,
75.98,-18.225,687.5,"-1,362.5",-1,,
75.876,-17.393,712.5,"-1,362.5",-1,,
75.769,-16.574,737.5,"-1,362.5",-1,,
75.659,-15.767,762.5,"-1,362.5",-1,,
75.547,-14.973,787.5,"-1,362.5",-1,,
75.432,-14.191,812.5,"-1,362.5",-1,,
75.314,-13.422,837.5,"-1,362.5",-1,,
75.194,-12.665,862.5,"-1,362.5",-1,,
75.071,-11.921,887.5,"-1,362.5",-1,,
74.946,-11.189,912.5,"-1,362.5",-1,,
74.819,-10.469,937.5,"-1,362.5",-1,,
74.689,-9.762,962.5,"-1,362.5",-1,,
74.557,-9.067,987.5,"-1,362.5",-1,,
74.423,-8.383,"1,012.5","-1,362.5",-1,,
74.287,-7.712,"1,037.5","-1,362.5",-1,,
74.148,-7.052,"1,062.5","-1,362.5",-1,,
74.008,-6.404,"1,087.5","-1,362.5",-1,,
73.866,-5.768,"1,112.5","-1,362.5",-1,,
73.722,-5.143,"1,137.5","-1,362.5",-1,,
73.576,-4.529,"1,162.5","-1,362.5",-1,,
73.428,-3.926,"1,187.5","-1,362.5",-1,,
65.887,-104.685,"-2,287.5","-1,337.5","9,999",,
66.078,-104.41,"-2,262.5","-1,337.5","9,999",,
66.268,-104.13,"-2,237.5","-1,337.5","9,999",,
66.458,-103.846,"-2,212.5","-1,337.5","9,999",,
66.647,-103.557,"-2,187.5","-1,337.5","9,999",,
66.836,-103.263,"-2,162.5","-1,337.5","9,999",,
67.025,-102.965,"-2,137.5","-1,337.5","9,999",,
67.212,-102.661,"-2,112.5","-1,337.5","9,999",,
67.4,-102.352,"-2,087.5","-1,337.5","9,999",,
67.587,-102.037,"-2,062.5","-1,337.5","9,999",,
67.773,-101.717,"-2,037.5","-1,337.5","9,999",,
67.959,-101.392,"-2,012.5","-1,337.5","9,999",,
68.144,-101.061,"-1,987.5","-1,337.5",-1,,
68.328,-100.724,"-1,962.5","-1,337.5",-1,,
68.512,-100.382,"-1,937.5","-1,337.5",-1,,
68.696,-100.033,"-1,912.5","-1,337.5",-1,,
68.878,-99.678,"-1,887.5","-1,337.5",-1,,
69.06,-99.317,"-1,862.5","-1,337.5","9,999",,
69.241,-98.949,"-1,837.5","-1,337.5","9,999",,
69.422,-98.575,"-1,812.5","-1,337.5","9,999",,
