year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   4.5000000e-01   3.6571429e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   4.4000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   4.2000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00   4.3000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00   4.7000000e-01   4.0000000e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00   4.2000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00   4.5000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00   3.9000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00   3.4000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00   3.2000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.8000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00   2.9000000e-01   4.0000000e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00   2.7000000e-01             NaN   0.0000000e+00
